taxid|organism_name|assembly_accession|intraspecific_name|status
1300164|Methanobrevibacter arboriphilus JCM 13429 = DSM 1125|GCF_001316345.1||active
2565781|Candidatus Nanohalobium constans|GCF_009617975.1||active
1710539|Natrinema sp. YPL30|GCF_013456555.2||active
2816475|Haloterrigena sp. KZCA68|GCF_017352155.2||active
2795383|Nitrosopumilus sp. K4|GCF_018128925.1||active
156457|Methanocalculus chunghsingensis|GCF_018132105.1||active
2731220|Methanobacterium sp. MethCAN|GCF_018141185.1||active
662476|Haloarcula sinaiiensis ATCC 33800|GCF_018200015.1||active
35743|Halorubrum sodomense|GCF_018228765.1||active
83986|Methanoculleus bourgensis|GCF_018495055.1||active
2834276|Methanospirillum sp. J.3.6.1-F.2.7.3|GCF_018502485.1||active
2836432|Halorubrum sp. 2020YC2|GCF_018623055.1||active
2173|Methanobrevibacter smithii|GCF_018784305.1||active
1429914|Halomicroarcula salina|GCF_019061225.1||active
1429915|Halomicroarcula limicola|GCF_019061235.1||active
2286|Saccharolobus shibatae|GCF_019175305.1||active
2286|Saccharolobus shibatae|GCF_019175325.1||skipped
523848|Saccharolobus shibatae B12|GCF_019175345.1||active
2203|Methanospirillum hungatei|GCF_019263745.1||active
2841655|Methanobacterium sp. YSL|GCF_019351055.1||active
2487746|Halomicroarcula sp. F24A|GCF_019599405.1||active
2487747|Halomicroarcula sp. F13|GCF_019599465.1||active
2487748|Halomicroarcula sp. F28|GCF_019599485.1||active
2487749|Halomicroarcula sp. F27|GCF_019599505.1||active
1427151|Halomicroarcula pellucida|GCF_019599515.1||active
299308|Methanofollis formosanus|GCF_019633745.1||active
39441|Methanobrevibacter arboriphilus|GCF_019669925.1||active
2209|Methanosarcina mazei|GCF_019669945.1||active
118126|Methanoculleus chikugoensis|GCF_019669965.1||active
2862870|Salinarchaeum sp. IM2453|GCF_019693215.1||active
2824673|Stygiolobus sp. KN-1|GCF_019704315.1||active
1017351|Halobaculum magnesiiphilum|GCF_019823105.1||active
2871694|Natrinema sp. SYSU A 869|GCF_019879105.1||active
2872158|Halobaculum sp. C46|GCF_019880225.1||active
2175149|Halobaculum roseum|GCF_019880245.1||active
2874285|Methanobacterium sp. VT|GCF_019931065.1||active
91560|Methanimicrococcus blatticola|GCF_020011555.1||active
2876193|Haloprofundus sp. SQT7-1|GCF_020097815.1||active
2876194|Haloprofundus sp. SEDH52|GCF_020097835.1||active
370324|Haloterrigena longa|GCF_020105915.1||active
2848611|Methanobrevibacter sp. TMH8|GCF_020148105.1||active
2876190|Haloprofundus sp. Gai1-5|GCF_020150815.1||active
1849069|Saliphagus infecundisoli|GCF_020177165.1||active
1849069|Saliphagus infecundisoli|GCF_020177375.1||skipped
1586233|Halosiccatus urmianus|GCF_020217425.1||active
2689387|Thermococcus bergensis|GCF_020386975.1||active
2878391|Halosiccatus sp. LT50|GCF_020405185.1||active
2878535|Natrinema sp. SLN56|GCF_020405205.1||active
2878680|Natrinema sp. DC36|GCF_020405225.1||active
2878391|Halosiccatus sp. LT50|GCF_020405245.1||active
2878679|Natrinema sp. LT61|GCF_020515625.1||active
1122961|Picrophilus oshimae DSM 9789|GCF_900176435.1||active
2546128|Methanocaldococcus sp. SG7|GCF_902827225.1||active
66851|Methanobrevibacter oralis|GCF_912073625.1||active
2161|Methanobacterium bryantii|GCF_002287175.1||active
2162|Methanobacterium formicicum|GCF_000762265.1||active
2162|Methanobacterium formicicum|GCF_001458655.1|Mb9|skipped
2173|Methanobrevibacter smithii|GCF_000824705.1||active
2173|Methanobrevibacter smithii|GCF_002252585.1||skipped
2173|Methanobrevibacter smithii|GCF_002813085.1||skipped
2173|Methanobrevibacter smithii|GCF_900650605.1||skipped
2173|Methanobrevibacter smithii|GCF_900654205.1|PRJEB30652|skipped
2173|Methanobrevibacter smithii|GCF_901111125.1|PRJEB32190|skipped
2173|Methanobrevibacter smithii|GCF_902384055.1|MGYG-HGUT-02163|skipped
2173|Methanobrevibacter smithii|GCF_902387325.1|MGYG-HGUT-02446|skipped
2177|Methanohalophilus halophilus|GCF_001889405.1||active
2177|Methanohalophilus halophilus|GCF_003722055.1||skipped
2177|Methanohalophilus halophilus|GCF_900106905.1||skipped
2188|Methanococcus voltae|GCF_017875395.1||active
2188|Methanococcus voltae|GCF_017875565.1||skipped
2188|Methanococcus voltae|GCF_017875625.1||skipped
2200|Methanoculleus thermophilus|GCF_001571405.1||active
2200|Methanoculleus thermophilus|GCF_900101055.1||skipped
2209|Methanosarcina mazei|GCF_000978935.1||active
2209|Methanosarcina mazei|GCF_000978945.1||skipped
2209|Methanosarcina mazei|GCF_000978955.1||skipped
2209|Methanosarcina mazei|GCF_000978965.1||skipped
