taxid|organism_name|assembly_accession|intraspecific_name|status
1159556|Ustilaginoidea virens|GCF_000687475.1||active
91492|Aspergillus udagawae|GCF_001078395.1||active
5007|Brettanomyces bruxellensis|GCF_011074885.1||active
332952|Aspergillus flavus NRRL3357|GCF_014117465.1||active
83186|Diaporthe citri|GCF_014595645.1||active
48578|Suillus paluster|GCF_016628075.1||active
48586|Suillus subalutaceus|GCF_016647625.1||active
48587|Suillus subaureus|GCF_016647635.1||active
116603|Suillus plorans|GCF_016647745.1||active
1912939|Suillus fuscotomentosus|GCF_016647785.1||active
1912936|Suillus discolor|GCF_016758755.1||active
1904413|Suillus clintonianus|GCF_016758775.1||active
48563|Suillus bovinus|GCF_016758785.1||active
1069201|Aspergillus luchuensis|GCF_016861625.1||active
182096|Aspergillus chevalieri|GCF_016861735.1||active
1220207|Aspergillus puulaauensis|GCF_016861865.1||active
456999|Rhizoctonia solani|GCF_016906535.1|XN|active
1517512|Aspergillus pseudoviridinutans|GCF_018340605.1||active
75553|Aspergillus viridinutans|GCF_018404265.1||active
181124|Marasmius oreades|GCF_018924745.1|03SP1|active
45513|Scheffersomyces spartinae|GCF_019049425.1||active
1450536|Guyanagaster necrorhizus MCA 3950|GCF_019112545.1||active
1937702|Ogataea haglerorum|GCF_019207285.1|81-453-3|active
870730|Ogataea angusta|GCF_019207475.1|61-244|active
748121|Diaporthe batatas|GCF_019321695.1||active
2732470|Bacidia gigantensis|GCF_019456465.1||active
36050|Fusarium poae|GCF_019609905.1||active
84275|Cercospora kikuchii|GCF_019650295.1||active
1042133|Fusarium musae|GCF_019915245.1||active
1174677|Morchella sextelata|GCF_020137385.1||active
111463|Hirsutella rhossiliensis|GCF_020360975.1||active
192010|Fusarium mangiferae|GCF_900044065.1||active
120017|Ustilago hordei|GCF_900519145.1||active
61262|Kazachstania barnettii|GCF_903064755.1||active
119953|Alternaria atra|GCF_907166805.1|CS162|active
4896|Schizosaccharomyces pombe|GCF_000002945.1||active
4909|Pichia kudriavzevii|GCF_003054445.1||active
4950|Torulaspora delbrueckii|GCF_000243375.1||active
4956|Zygosaccharomyces rouxii|GCF_000026365.1||active
4999|Kockovaella imperatae|GCF_002102565.1||active
5068|Aspergillus tubingensis|GCF_013340325.1||active
5078|Penicillium griseofulvum|GCF_001561935.1||active
5082|Penicillium roqueforti|GCF_015533775.1||active
5322|Pleurotus ostreatus|GCF_014466165.1||active
5454|Ascochyta rabiei|GCF_004011695.1|Me14|active
5467|Colletotrichum truncatum|GCF_014235925.1||active
5478|[Candida] glabrata|GCF_000002545.3||active
5480|Candida parapsilosis|GCF_000182765.1||active
5481|Diutina rugosa|GCF_008704595.1||active
5599|Alternaria alternata|GCF_001642055.1||active
13502|Brettanomyces nanus|GCF_011074865.1||active
27291|Saccharomyces paradoxus|GCF_002079055.1||active
