taxid|organism_name|assembly_accession|intraspecific_name|status
6279|Brugia malayi|GCF_000002995.4||active
114398|Parasteatoda tepidariorum|GCF_000365465.3||active
30207|Polistes fuscatus|GCF_010416935.1|324|active
561572|Frieseomelitta varia|GCF_011392965.1|USP_RPSP 00005682|active
935657|Colletes gigas|GCF_013123115.1|AHSC1104|active
45264|Acropora millepora|GCF_013753865.1|JS-1|active
183418|Apis laboriosa|GCF_014066325.1|Shangri-la|active
30213|Vespula pensylvanica|GCF_014466175.1|Volc-1|active
396416|Bombus pyrosoma|GCF_014825855.1|SC7728|active
684658|Aphidius gifuensis|GCF_014905175.1|YNYX2018|active
41895|Tribolium madens|GCF_015345945.1|multiple individuals|active
63436|Leptopilina heterotoma|GCF_015476425.1|Lh14|active
7243|Drosophila teissieri|GCF_016746235.2||active
129105|Drosophila santomea|GCF_016746245.2||active
7245|Drosophila yakuba|GCF_016746365.2||active
6945|Ixodes scapularis|GCF_016920785.2|PalLabHiFi|active
27405|Penaeus japonicus|GCF_017312705.1|Ginoza2017|active
30066|Anopheles merus|GCF_017562075.2||active
7217|Drosophila ananassae|GCF_017639315.1||active
7654|Lytechinus variegatus|GCF_018143015.1|NC3|active
125945|Drosophila biarmipes|GCF_018148935.1|14023-0361.10|active
7282|Drosophila obscura|GCF_018151105.1|BZ-5 IFL|active
1041015|Drosophila rhopaloa|GCF_018152115.1|14029-0021.01|active
30025|Drosophila ficusphila|GCF_018152265.1|14025-0441.05|active
30023|Drosophila elegans|GCF_018152505.1|14027-0461.03|active
30033|Drosophila kikkawai|GCF_018152535.1|14028-0561.14|active
29030|Drosophila takahashii|GCF_018152695.1|IR98-3 E-12201|active
7222|Drosophila grimshawi|GCF_018153295.1|15287-2541.00|active
7230|Drosophila mojavensis|GCF_018153725.1|15081-1352.22|active
29029|Drosophila eugracilis|GCF_018153835.1|14026-0451.02|active
42026|Drosophila bipectinata|GCF_018153845.1|14024-0381.04|active
6706|Homarus americanus|GCF_018991925.1|GMGI-L3|active
1232801|Amphibalanus amphitrite|GCF_019059575.1|SeventyFive|active
32260|Venturia canescens|GCF_019457755.1|UGA|active
32391|Cotesia glomerata|GCF_020080835.1|CgM1|active
91739|Aricia agestis|GCF_905147365.1||active
1735272|Gigantopelta aegis|GCF_016097555.1|Gae_Host|active
6087|Hydra vulgaris|GCF_000004095.1||active
6105|Actinia tenebrosa|GCF_009602425.1||active
6183|Schistosoma mansoni|GCF_000237925.1||active
6185|Schistosoma haematobium|GCF_000699445.2||active
6198|Opisthorchis viverrini|GCF_000715545.1||active
6210|Echinococcus granulosus|GCF_000524195.1||active
6238|Caenorhabditis briggsae|GCF_000004555.1||active
6239|Caenorhabditis elegans|GCF_000002985.6||active
6334|Trichinella spiralis|GCF_000181795.1||active
6412|Helobdella robusta|GCF_000326865.1||active
6500|Aplysia californica|GCF_000002075.1|F4 #8|active
6526|Biomphalaria glabrata|GCF_000457365.1|BB02|active
6565|Crassostrea virginica|GCF_002022765.2|RU13XGHG1-28|active
6573|Mizuhopecten yessoensis|GCF_002113885.1||active
6579|Pecten maximus|GCF_902652985.1||active
6687|Penaeus monodon|GCF_015228065.1|SGIC_2016|active
6689|Penaeus vannamei|GCF_003789085.1||active
6850|Limulus polyphemus|GCF_000517525.1||active
6941|Rhipicephalus microplus|GCF_013339725.1|Rmic-2018|active
6956|Dermatophagoides pteronyssinus|GCF_001901225.1||active
7029|Acyrthosiphon pisum|GCF_005508785.1|AL4f|active
7038|Bemisia tabaci|GCF_001854935.1|MEAM1|active
7048|Sitophilus oryzae|GCF_002938485.1||active
7054|Photinus pyralis|GCF_008802855.1|1611_PpyrPB1|active
7070|Tribolium castaneum|GCF_000002335.3||active
7091|Bombyx mori|GCF_014905235.1||active
7092|Bombyx mandarina|GCF_003987935.1|Bman2017|active
7108|Spodoptera frugiperda|GCF_011064685.1|Faw-zju|active
7111|Trichoplusia ni|GCF_003590095.1|ovarian cell line Hi5|active
7130|Manduca sexta|GCF_014839805.1|Smith_Timp_Sample1|active
7137|Galleria mellonella|GCF_003640425.2|Carbio01_MB|active
7159|Aedes aegypti|GCF_002204515.2||active
7160|Aedes albopictus|GCF_006496715.1|FPA|active
7167|Anopheles albimanus|GCF_013758885.1||active
7173|Anopheles arabiensis|GCF_016920715.1|DONGOLA|active
7176|Culex quinquefasciatus|GCF_015732765.1||active
7209|Loa loa|GCF_000183805.2||active
7213|Ceratitis capitata|GCF_000347755.3||active
7220|Drosophila erecta|GCF_003286155.1||active
7224|Drosophila hydei|GCF_003285905.1||active
7225|Scaptodrosophila lebanonensis|GCF_003285725.1||active
7226|Drosophila mauritiana|GCF_004382145.1||active
7227|Drosophila melanogaster|GCF_000001215.4||active
7229|Drosophila miranda|GCF_003369915.1||active
7232|Drosophila navojoa|GCF_001654015.2|navoj_Jal97|active
7234|Drosophila persimilis|GCF_003286085.1||active
7237|Drosophila pseudoobscura|GCF_009870125.1||active
7238|Drosophila sechellia|GCF_004382195.1||active
7240|Drosophila simulans|GCF_016746395.1||active
7241|Drosophila subobscura|GCF_008121235.1|14011-0131.10|active
7244|Drosophila virilis|GCF_003285735.1||active
7260|Drosophila willistoni|GCF_000005925.1||active
7263|Drosophila arizonae|GCF_001654025.1|ariz_Son04|active
7266|Drosophila guanche|GCF_900245975.1||active
7274|Drosophila serrata|GCF_002093755.1||active
