taxid|organism name|assembly accession|intraspecific name|status
8478|Chrysemys picta bellii|GCF_000241765.4|RCT428|active
59729|Taeniopygia guttata|GCF_003957565.2|Black17|active
36176|Chiloscyllium plagiosum|GCF_004010195.1|BGI_BamShark_2017|active
61221|Varanus komodoensis|GCF_004798865.1||active
160734|Plectropomus leopardus|GCF_008729295.1|mb|active
91951|Catharus ustulatus|GCF_009819885.2|bCatUst1|active
30331|Bufo gargarizans|GCF_014858855.1|SCDJY-AF-19|active
451745|Nematolebias whitei|GCF_014905685.2|Nwh7|active
8469|Chelonia mydas|GCF_015237465.2|rCheMyd1|active
68294|Corvus kubaryi|GCF_017639235.1|FWS band 111438036|active
148594|Falco naumanni|GCF_017639655.2|bFalNau1|active
1250792|Melanotaenia boesemani|GCF_017639745.1|fMelBoe1|active
109905|Chelmon rostratus|GCF_017976325.1|fCheRos1|active
74940|Oncorhynchus tshawytscha|GCF_018296145.1|Ot180627B|active
241271|Cheilinus undulatus|GCF_018320785.1||active
8153|Haplochromis burtoni|GCF_018398535.1||active
59861|Coregonus clupeaformis|GCF_018398675.1|EN20210322|active
34773|Alosa sapidissima|GCF_018492685.1|fAloSap1|active
56313|Tyto alba|GCF_018691265.1|M040663|active
1606681|Puntigrus tetrazona|GCF_018831695.1|hp1|active
7868|Callorhinchus milii|GCF_018977255.1|IMCB2004|active
8520|Sceloporus undulatus|GCF_019175285.1|JIND9_A2432|active
28829|Solea senegalensis|GCF_019176455.1|Sse05_10M|active
9002|Centrocercus urophasianus|GCF_019232065.1|14NV4802_14NV808|active
30410|Lagopus leucura|GCF_019238085.1|7727_CA_CO|active
33528|Gambusia affinis|GCF_019740435.1||active
119488|Siniperca chuatsi|GCF_020085105.1|FFG_IHB_CAS|active
7950|Clupea harengus|GCF_900700415.2||active
8240|Thunnus maccoyii|GCF_910596095.1||active
8236|Thunnus albacares|GCF_914725855.1||active
13397|Carcharodon carcharias|GCF_017639515.1|sCarCar2|active
158456|Betta splendens|GCF_900634795.3||active
221976|Pyrgilauda ruficollis|GCF_017590135.1|IOZ18807|active
223781|Aquila chrysaetos chrysaetos|GCF_900496995.4||active
356909|Onychostruthus taczanowskii|GCF_017590055.1|IOZ18803|active
7913|Polyodon spathula|GCF_017654505.1|WHYD16114869 AA|active
9031|Gallus gallus|GCF_016700215.1|bGalGal1|skipped
941984|Toxotes jaculatrix|GCF_017976425.1|fToxJac2|active
1094192|Motacilla alba alba|GCF_015832195.1|MOTALB 02|active
118141|Megalops cyprinoides|GCF_013368585.1|fMegCyp1|active
120794|Falco rusticolus|GCF_015220075.1|bFalRus1|active
134920|Pungitius pungitius|GCF_902500615.1||active
161584|Syngnathus acus|GCF_901709675.1||active
260615|Mauremys reevesii|GCF_016161935.1|NIE-2019|active
2691554|Salvelinus sp. IW2-2015|GCF_002910315.2|IW2-2015|active
27706|Micropterus salmoides|GCF_014851395.1|LMB-PRFRI|active
27794|Dermochelys coriacea|GCF_009764565.2|rDerCor1|retired_Oct21
42526|Colossoma macropomum|GCF_904425465.1||active
43150|Hirundo rustica|GCF_015227805.1|bHirRus1|active
43689|Simochromis diagramma|GCF_900408965.1||active
451745|Nematolebias whitei|GCF_014905685.1|Nwh7|retired_Oct21
481459|Gasterosteus aculeatus aculeatus|GCF_016920845.1||active
55291|Polypterus senegalus|GCF_016835505.1|Bchr 013|active
72105|Sebastes umbrosus|GCF_015220745.1|fSebUmb1|active
77115|Cyprinodon tularosa|GCF_016077235.1||active
7830|Scyliorhinus canicula|GCF_902713615.1||active
7936|Anguilla anguilla|GCF_013347855.1|fAngAng1|active
8005|Electrophorus electricus|GCF_013358815.1|fEleEle1|active
8018|Oncorhynchus keta|GCF_012931545.1|Oke142-1 Chum Gynogen|active
8040|Salvelinus namaycush|GCF_016432855.1|Seneca|active
8168|Perca fluviatilis|GCF_010015445.1||active
8177|Acanthopagrus latus|GCF_904848185.1|v.2019|active
8245|Xiphias gladius|GCF_016859285.1|SHS-SW01|active
8407|Rana temporaria|GCF_905171775.1||active
84834|Molothrus ater|GCF_012460135.1|BHLD 08-10-18|active
88082|Crotalus tigris|GCF_016545835.1|CLP2741|active
90988|Pimephales promelas|GCF_016745375.1||active
9160|Passer montanus|GCF_014805655.1|IOZ18808|active
8384|Bufo bufo|GCF_905171765.1||active
8869|Cygnus olor|GCF_009769625.2||active
148594|Falco naumanni|GCF_017639655.1||retired_June2021
9031|Gallus gallus|GCF_016699485.2|bGalGal1|active
417921|Etheostoma cragini|GCF_013103735.1|ETHCR|active
54343|Etheostoma spectabile|GCF_008692095.1|ETHSP|active
100784|Balearica regulorum gibbericeps|GCF_000709895.1|BALRE|active
103695|Pogona vitticeps|GCF_900067755.1|POGVI|active
103944|Protobothrops mucrosquamatus|GCF_001527695.2|PROMU|active
105023|Nothobranchius furzeri|GCF_001465895.1|NOTFU|active
106582|Maylandia zebra|GCF_000238955.4|MAYZE|active
106734|Chelonoidis abingdonii|GCF_003597395.1|CHEAB|active
109280|Hippocampus comes|GCF_001891065.1|HIPCO|active
113540|Scleropages formosus|GCF_900964775.1|SCLFO|active
114329|Neopelma chrysocephalum|GCF_003984885.1|NEOCH|active
