taxid|organism_name|assembly_accession|intraspecific_name|status
100053|Leptospira alexanderi|GCF_002009845.1|strain=56659|active
1000562|Streptococcus phocae subsp. salmonis|GCF_000772915.1|strain=C-4|active
1000565|Methyloversatilis universalis FAM5|GCF_000214035.2|strain=FAM5|active
1000566|Saccharopolyspora lacisalsi|GCF_014137975.1|strain=DSM 45975|active
1000568|Megasphaera lornae|GCF_000214495.1|strain=UPII 199-6|active
1000570|Streptococcus anginosus SK52 = DSM 20563|GCF_000214555.1|strain=SK52|active
1000570|Streptococcus anginosus SK52 = DSM 20563|GCF_000373605.1|strain=DSM 20563|skipped
1000570|Streptococcus anginosus SK52 = DSM 20563|GCF_000474055.1|strain=SK52|skipped
1000570|Streptococcus anginosus SK52 = DSM 20563|GCF_002088025.1|strain=ATCC 33397|skipped
1001240|Cryobacterium roopkundense|GCF_000764165.1|strain=RuG17|active
1001240|Cryobacterium roopkundense|GCF_014200405.1|strain=DSM 21065|skipped
1001530|Photobacterium leiognathi subsp. mandapamensis svers.1.1.|GCF_000211495.1|strain=svers.1.1.|active
1001595|Leptospira noguchii serovar Panama str. CZ214|GCF_000306255.2|strain=CZ214|active
1001714|Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300|GCF_000239055.1|strain=CCUG 48898|active
1001714|Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300|GCF_000270665.1|strain=CCUG 48898|skipped
1001714|Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300|GCF_000497265.2|strain=JCM 15300|skipped
100174|Clostridium peptidivorans|GCF_900205925.1||active
100225|Austwickia chelonae|GCF_900111385.1|strain=DSM 44178|active
1002367|Prevotella stercorea DSM 18206|GCF_000235885.1|strain=DSM 18206|active
1002526|Pseudomonas formosensis|GCF_900115905.1|strain=JCM 18415|active
1002691|Occallatibacter savannae|GCF_003131205.1|strain=AB23|active
1002795|Pectinatus sottacetonis|GCF_015732155.1|strain=MB620|active
1002870|Gaiella occulta|GCF_003351045.1|strain=F2-233|active
1003110|Micromonospora maris|GCF_001507315.1|strain=NRRL B-24793|active
1003195|Streptomyces cattleya NRRL 8057 = DSM 46488|GCF_000237305.1|strain=NRRL 8057|active
1003201|Rickettsia typhi str. TH1527|GCF_000277285.1|strain=TH1527|active
1003238|Chlamydia abortus LLG|GCF_000213905.2|strain=LLG|active
1003997|Alicyclobacillus cellulosilyticus|GCF_014647315.1|strain=JCM 18487|active
1003|Thermoflexibacter ruber|GCF_900113045.1|strain=GEY, DSM 9560|active
1004150|Photorhabdus khanii|GCF_009428945.1|strain=HGB 1456|active
1004151|Photorhabdus khanii NC19|GCF_000517265.1|strain=NC19|active
1004159|Photorhabdus tasmaniensis|GCF_011189505.1|strain=T327|active
1004261|Oceanobacillus indicireducens|GCF_014647195.1|strain=JCM 17251|active
1004279|Mesorhizobium muleiense|GCF_900099905.1|strain=CGMCC 1.11022|active
1004304|Hydrotalea sandarakina|GCF_003254115.1|strain=DSM 23241|active
1004316|Vibrio sonorensis|GCF_001854765.1|strain=CAIM 1076|active
1004326|Vibrio mexicanus|GCF_001012815.1|strain=CAIM 1540|active
100469|Schaalia canis|GCF_003858455.1|strain=OH770|active
1004901|Gordonia iterans|GCF_002993285.1|strain=Co17|active
1004|Chitinophaga sancti|GCF_900119105.1|strain=DSM 784|active
1005665|Kosakonia oryzendophytica|GCF_900094925.1|strain=REICA_082|active
1005667|Kosakonia oryziphila|GCF_900094795.1|strain=REICA_142|active
1005740|Aminivibrio pyruvatiphilus|GCF_004366815.1|strain=DSM 25964|active
1005926|Muricauda taeanensis|GCF_003584105.1|strain=JCM 17757|active
1005928|Roseovarius lutimaris|GCF_900115165.1|strain=DSM 28463|active
1005941|Planococcus halocryophilus Or1|GCF_000342445.1|strain=Or1|active
1005944|Nocardioides szechwanensis|GCF_007992395.1|strain=NBRC 108562|active
1005944|Nocardioides szechwanensis|GCF_900103935.1|strain=CGMCC 1.11147|skipped
1005945|Nocardioides psychrotolerans|GCF_007992415.1|strain=NBRC 108563|active
1005945|Nocardioides psychrotolerans|GCF_900113685.1|strain=CGMCC 1.11156|skipped
1005994|Trabulsiella guamensis ATCC 49490|GCF_000734965.1|strain=ATCC 49490|active
1005995|Tatumella ptyseos ATCC 33301|GCF_000439895.1|strain=ATCC 33301|active
1005995|Tatumella ptyseos ATCC 33301|GCF_000735525.1|strain=ATCC 33301|skipped
1005996|Raoultella planticola ATCC 33531|GCF_000735435.1|strain=ATCC 33531|active
1005999|Leminorella grimontii ATCC 33999 = DSM 5078|GCF_000439085.1|strain=DSM 5078|active
1005999|Leminorella grimontii ATCC 33999 = DSM 5078|GCF_000735425.1|strain=ATCC 33999|skipped
